Drug,Class_ID,Classification
dexketoprofen,M01AE17,Anti-inflammatory and antirheumatic products
ibuprofen,M01AE01,Anti-inflammatory and antirheumatic products
metformin,A10BA02,Drugs used in diabetes
batroxobin,B02BX03,Antihemorrhagics
zidovudine and lamivudine,J05AR01,Antivirals for systemic use
naldemedine,A06AH05,Drugs for constipation
"Beta blocking agents, selective, and thiazides",C07BB,Beta blocking agents
demecarium,S01EB04,Ophthalmologicals
BACTERIAL VACCINES,J07A,Vaccines
Other cough suppressants and expectorants in ATC,R05FB,Cough and cold preparations
cromoglicic acid,S01GX01,Ophthalmologicals
cloridarol,C01DX15,Cardiac therapy
prenalterol,C01CA13,Cardiac therapy
tetryzoline,R01AA06,Nasal preparations
pirarubicin,L01DB08,Antineoplastic agents
"colecalciferol, combinations",A11CC55,Vitamins
radium (223Ra) dichloride,V10XX03,Therapeutic radiopharmaceuticals
flurithromycin,J01FA14,Antibacterials for systemic use
acetyldihydrocodeine,R05DA12,Cough and cold preparations
metformin and saxagliptin,A10BD10,Drugs used in diabetes
proxymetacaine,S01HA04,Ophthalmologicals
benzathine phenoxymethylpenicillin,J01CE10,Antibacterials for systemic use
"Vinca alkaloids and analogues, antineoplastic",L01CA,Antineoplastic agents
"Watersoluble, hepatotropic X-ray contrast media",V08AC,Contrast media
levacetylmethadol,N07BC03,Other nervous system drugs
omidenepag,S01EX06,Ophthalmologicals
Caries prophylactic agents,A01AA,Stomatological preparations
policosanol,C10AX08,Lipid modifying agents
guanazodine,C02CC06,Antihypertensives
tretoquinol,R03CC09,Drugs for obstructive airway diseases
fluostigmine,S01EB07,Ophthalmologicals
capecitabine,L01BC06,Antineoplastic agents
"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03B,Muscle relaxants
"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,Antiobesity preparations
desogestrel,G03AC09,Sex hormones and modulators of the genital system
"zidovudine, lamivudine and abacavir",J05AR04,Antivirals for systemic use
tibezonium iodide,A01AB15,Stomatological preparations
OTOLOGICALS,S02,Otologicals
DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03E,Diuretics
celiprolol,C07AB08,Beta blocking agents
inositol,A11HA07,Vitamins
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,Gynecological antiinfectives and antiseptics
"dodeclonium bromide, combinations",D08AJ59,Antiseptics and disinfectants
"pilocarpine, combinations",S01EB51,Ophthalmologicals
carboprost,G02AD04,Other gynecologicals
siltuximab,L04AC11,Immunosuppressants
erythromycin,J01FA01,Antibacterials for systemic use
floxuridine,L01BC09,Antineoplastic agents
Vitamin IV solution additives,B05XC,Blood substitutes and perfusion solutions
iopydol,V08AD02,Contrast media
polymyxin B,S02AA11,Otologicals
talastine,R06AB07,Antihistamines for systemic use
leflunomide,L04AA13,Immunosuppressants
piperacillin,J01CA12,Antibacterials for systemic use
gentamicin,S02AA14,Otologicals
yohimbine,G04BE04,Urologicals
oxomemazine,R06AD08,Antihistamines for systemic use
chondroitin sulfate,M01AX25,Anti-inflammatory and antirheumatic products
"Phenothiazine derivatives, systemic antihistamines",R06AD,Antihistamines for systemic use
alum,S01XA07,Ophthalmologicals
Other antifungals for topical use in ATC,D01AE,Antifungals for dermatological use
fluocortolone and antiinfectives,S01CA04,Ophthalmologicals
fludiazepam,N05BA17,Psycholeptics
tosufloxacin,J01MA22,Antibacterials for systemic use
follitropin alfa,G03GA05,Sex hormones and modulators of the genital system
"lansoprazole, amoxicillin and levofloxacin",A02BD10,Drugs for acid related disorders
sarilumab,L04AC14,Immunosuppressants
desoxycortone,H02AA03,Corticosteroids for systemic use
"Corticosteroids, weak (group I)",D07AA,Corticosteroids
meclofenamic acid,M02AA18,Topical products for joint and muscular pain
chloramphenicol,D06AX02,Antibiotics and chemotherapeutics for dermatological use
arterolane and piperaquine,P01BX02,Antiprotozoals
teicoplanin,J01XA02,Antibacterials for systemic use
demeclocycline,J01AA01,Antibacterials for systemic use
sulfadiazine,J01EC02,Antibacterials for systemic use
metamizole sodium,N02BB02,Analgesics
MINERAL SUPPLEMENTS,A12,Mineral supplements
amisulpride,N05AL05,Psycholeptics
vitamin A concentrates,V04CB01,Diagnostic agents
fluorometholone and antiinfectives,S01CA07,Ophthalmologicals
fenoterol and ipratropium bromide,R03AL01,Drugs for obstructive airway diseases
tetracycline,S01AA09,Ophthalmologicals
stavudine,J05AF04,Antivirals for systemic use
Other anti-dementia drugs in ATC,N06DX,Psychoanaleptics
cetuximab,L01XC06,Antineoplastic agents
CALCIUM CHANNEL BLOCKERS,C08,Calcium channel blockers
veratrum,C02KA01,Antihypertensives
ozanimod,L04AA38,Immunosuppressants
cefaloridine,J01DB02,Antibacterials for systemic use
amiloride,C03DB01,Diuretics
sulfobromophthalein,V04CE02,Diagnostic agents
phenprobamate,M03BA01,Muscle relaxants
Vitamin D and analogues,A11CC,Vitamins
"Oxazolidine derivatives, antiepileptics",N03AC,Antiepileptics
oxametacin,M01AB13,Anti-inflammatory and antirheumatic products
"limbal stem cells, autologous",S01XA19,Ophthalmologicals
"chlorphenamine, combinations",R06AB54,Antihistamines for systemic use
papaverine,A03AD01,Drugs for functional gastrointestinal disorders
fenetylline,N06BA10,Psychoanaleptics
barnidipine,C08CA12,Calcium channel blockers
vinflunine,L01CA05,Antineoplastic agents
benzydamine,G02CC03,Other gynecologicals
bitolterol,R03AC17,Drugs for obstructive airway diseases
benzoyl peroxide,D10AE01,Anti-acne preparations
thyrotropin alfa,H01AB01,Pituitary and hypothalamic hormones and analogues
naftifine,D01AE22,Antifungals for dermatological use
cinnarizine,N07CA02,Other nervous system drugs
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,A16A,Other alimentary tract and metabolism products
deferoxamine,V03AC01,All other therapeutic products
ornidazole,J01XD03,Antibacterials for systemic use
valbenazine,N07XX13,Other nervous system drugs
styramate,M03BA04,Muscle relaxants
dexibuprofen,M01AE14,Anti-inflammatory and antirheumatic products
cefozopran,J01DE03,Antibacterials for systemic use
artesunate and pyronaridine,P01BF06,Antiprotozoals
lymecycline,J01AA04,Antibacterials for systemic use
dibutylphthalate,P03BX03,Ectoparasiticides
bufexamac,M02AA09,Topical products for joint and muscular pain
"codeine, combinations excl. psycholeptics",N02AA59,Analgesics
OTHER ANTIHYPERTENSIVES in ATC,C02K,Antihypertensives
betaine,A16AA06,Other alimentary tract and metabolism products
cefdinir,J01DD15,Antibacterials for systemic use
modafinil,N06BA07,Psychoanaleptics
tiagabine,N03AG06,Antiepileptics
Other dopaminergic agents in ATC,N04BX,Anti-parkinson drugs
Coxibs,M01AH,Anti-inflammatory and antirheumatic products
monoxerutin,C05CA02,Vasoprotectives
dasatinib,L01XE06,Antineoplastic agents
"Technetium 99m compounds, inflammation and infection detection radiopharmaceuticals",V09HA,Diagnostic radiopharmaceuticals
chenodeoxycholic acid,A05AA01,Bile and liver therapy
orphenadrine (citrate),M03BC01,Muscle relaxants
fluocinonide,D07AC08,Corticosteroids
meprotixol,R05DB22,Cough and cold preparations
Carbohydrate nutrients,V06DC,General nutrients
lidocaine,C01BB01,Cardiac therapy
captodiame,N05BB02,Psycholeptics
Benzodiazepine derivative antiepileptics,N03AE,Antiepileptics
betazole,V04CG02,Diagnostic agents
Rabies vaccines,J07BG,Vaccines
BLOOD AND RELATED PRODUCTS,B05A,Blood substitutes and perfusion solutions
methylthioninium chloride,V04CG05,Diagnostic agents
dextromethorphan,R05DA09,Cough and cold preparations
dydrogesterone,G03DB01,Sex hormones and modulators of the genital system
"Nucleic Acid, Nucleoside, or Nucleotide",T114,NA
"ACE inhibitors, other combinations in ATC",C09BX,Agents acting on the renin–angiotensin system
"measles, combinations with mumps, live attenuated",J07BD51,Vaccines
levomepromazine,N05AA02,Psycholeptics
Diphtheria vaccines,J07AF,Vaccines
polystyrene sulfonate,V03AE01,All other therapeutic products
thonzylamine,R01AC06,Nasal preparations
ethinylestradiol,G03CA01,Sex hormones and modulators of the genital system
meticillin,J01CF03,Antibacterials for systemic use
metipranolol,S01ED04,Ophthalmologicals
tolazoline,C04AB02,Peripheral vasodilators
clidinium and psycholeptics,A03CA02,Drugs for functional gastrointestinal disorders
cefoperazone and beta-lactamase inhibitor,J01DD62,Antibacterials for systemic use
hexobendine,C01DX06,Cardiac therapy
ioversol,V08AB07,Contrast media
melperone,N05AD03,Psycholeptics
flurazepam,N05CD01,Psycholeptics
pantethine,A11HA32,Vitamins
ferric proteinsuccinylate,B03AB09,Antianemic preparations
raltitrexed,L01BA03,Antineoplastic agents
Corticosteroids for local oral treatment,A01AC,Stomatological preparations
bisoprolol and thiazides,C07BB07,Beta blocking agents
glycopyrronium bromide and psycholeptics,A03CA05,Drugs for functional gastrointestinal disorders
glatiramer acetate,L03AX13,Immunostimulants
diflunisal,N02BA11,Analgesics
paricalcitol,H05BX02,Calcium homeostasis
sodium bicarbonate,B05XA02,Blood substitutes and perfusion solutions
alogliptin,A10BH04,Drugs used in diabetes
albumin,B05AA01,Blood substitutes and perfusion solutions
lisuride,N02CA07,Analgesics
"Technetium 99m compounds, renal system diagnostic radiopharmaceuticals",V09CA,Diagnostic radiopharmaceuticals
coagulation factor IX,B02BD04,Antihemorrhagics
phenazopyridine,G04BX06,Urologicals
miconazole,D01AC02,Antifungals for dermatological use
sodium selenate,A12CE01,Mineral supplements
guacetisal,N02BA14,Analgesics
chlortalidone and potassium-sparing agents,C03EA06,Diuretics
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03,Ophthalmological and otological preparations
electrolytes in combination with other drugs,B05BB04,Blood substitutes and perfusion solutions
OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,C09X,Agents acting on the renin–angiotensin system
"Sulfonamides, topical",D06BA,Antibiotics and chemotherapeutics for dermatological use
"Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",P01CA,Antiprotozoals
azlocillin,J01CA09,Antibacterials for systemic use
"Serotonin (5HT3) antagonists, antiemetics and antinauseants",A04AA,Antiemetics and antinauseants
Combinations of adrenergics,R03AH,Drugs for obstructive airway diseases
carisbamate,N03AX19,Antiepileptics
mometasone,D07XC03,Corticosteroids
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,Cardiac therapy
"timolol, combinations",S01ED51,Ophthalmologicals
donepezil,N06DA02,Psychoanaleptics
Polymyxins,J01XB,Antibacterials for systemic use
ivacaftor,R07AX02,Other respiratory system products
"encephalitis, Japanese, live attenuated",J07BA03,Vaccines
"oxyfedrine, combinations",C01DX53,Cardiac therapy
enalapril and diuretics,C09BA02,Agents acting on the renin–angiotensin system
Typhus (exanthematicus) vaccines,J07AR,Vaccines
mepyramine,D04AA02,Antipruritics
arsthinol,P01AR01,Antiprotozoals
oxyphenonium,A03AB03,Drugs for functional gastrointestinal disorders
simvastatin and acetylsalicylic acid,C10BX01,Lipid modifying agents
"Pyrazolone derivatives, high-ceiling diuretics",C03CD,Diuretics
Other agents against amoebiasis and other protozoal diseases in ATC,P01AX,Antiprotozoals
glimepiride,A10BB12,Drugs used in diabetes
IMMUNOGLOBULINS,J06B,Immune sera and immunoglobulins
sitagliptin and simvastatin,A10BH51,Drugs used in diabetes
tromantadine,D06BB02,Antibiotics and chemotherapeutics for dermatological use
Corticosteroids and antiinfectives in combination,S03CA,Ophthalmological and otological preparations
ticarcillin and beta-lactamase inhibitor,J01CR03,Antibacterials for systemic use
indium (111In) imciromab,V09GX02,Diagnostic radiopharmaceuticals
fenoverine,A03AX05,Drugs for functional gastrointestinal disorders
diazoxide,C02DA01,Antihypertensives
"omeprazole, amoxicillin and metronidazole",A02BD01,Drugs for acid related disorders
Quinine and derivatives for DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AA,Other drugs for disorders of the musculo-skeletal system
mephenytoin,N03AB04,Antiepileptics
"potassium chloride, combinations",A12BA51,Mineral supplements
clonidine and diuretics,C02LC01,Antihypertensives
mogamulizumab,L01XC25,Antineoplastic agents
triptorelin,L02AE04,Endocrine therapy
oxygen,V03AN01,All other therapeutic products
obidoxime,V03AB13,All other therapeutic products
interferon beta-1b,L03AB08,Immunostimulants
ajmaline,C01BA05,Cardiac therapy
sparfloxacin,J01MA09,Antibacterials for systemic use
methoxsalen,D05AD02,Antipsoriatics
ethisterone and estrogen,G03FA03,Sex hormones and modulators of the genital system
topiramate,N03AX11,Antiepileptics
sotalol and acetylsalicylic acid,C07FX02,Beta blocking agents
trihexyphenidyl,N04AA01,Anti-parkinson drugs
"epinephrine, combinations",S01EA51,Ophthalmologicals
diclofenac,D11AX18,Other dermatological preparations
cannabinoids,N02BG10,Analgesics
Opioids in combination with antispasmodics,N02AG,Analgesics
betamethasone and antiinfectives,S03CA06,Ophthalmological and otological preparations
clometocillin,J01CE07,Antibacterials for systemic use
Lincosamides,J01FF,Antibacterials for systemic use
"vitamin C products, plain",A11GA,Vitamins
itopride,A03FA07,Drugs for functional gastrointestinal disorders
hydrocortisone,S02BA01,Otologicals
metformin and sitagliptin,A10BD07,Drugs used in diabetes
fluocinonide,C05AA11,Vasoprotectives
"Beta-lactamase inhibitors, systemic penicillins",J01CG,Antibacterials for systemic use
naftidrofuryl,C04AX21,Peripheral vasodilators
"Substituted ethylene diamines, systemic antihistamines",R06AC,Antihistamines for systemic use
niceritrol,C10AD01,Lipid modifying agents
Vitamin B1 in combination with vitamin B6 and/or vitamin B12,A11DB,Vitamins
foscarnet,J05AD01,Antivirals for systemic use
deserpidine and diuretics,C02LA03,Antihypertensives
Temporal Concept,T079,NA
paraldehyde,N05CC05,Psycholeptics
Other hormone antagonists and related agents in ATC,L02BX,Endocrine therapy
ANTIVARICOSE THERAPY DRUGS,C05B,Vasoprotectives
"metronidazole, combinations",P01AB51,Antiprotozoals
temsirolimus,L01XE09,Antineoplastic agents
"Phenylalkylamine derivatives, non-selective calcium channel blockers",C08EA,Calcium channel blockers
xibornol,J01XX02,Antibacterials for systemic use
tolbutamide,V04CA01,Diagnostic agents
pamidronic acid,M05BA03,Drugs for treatment of bone diseases
Aldehydes and derivatives,N05CC,Psycholeptics
procyclidine,N04AA04,Anti-parkinson drugs
Antiinfective irrigating solution combinations,B05CA10,Blood substitutes and perfusion solutions
tolperisone,M03BX04,Muscle relaxants
IODINE THERAPY DRUGS,H03C,Thyroid therapy
atazanavir and ritonavir,J05AR23,Antivirals for systemic use
nizofenone,N06BX10,Psychoanaleptics
fenoterol,G02CA03,Other gynecologicals
"Proteinase inhibitors, antifibrinolytic",B02AB,Antihemorrhagics
Guanidine derivatives and diuretics,C02LF,Antihypertensives
"histapyrrodine, combinations",R06AC52,Antihistamines for systemic use
panipenem and betamipron,J01DH55,Antibacterials for systemic use
"lorazepam, combinations",N05BA56,Psycholeptics
ibandronic acid,M05BA06,Drugs for treatment of bone diseases
magnesium carbonate,A06AD01,Drugs for constipation
ethanol,V03AZ01,All other therapeutic products
ribavirin,J05AP01,Antivirals for systemic use
erythromycin,D10AF02,Anti-acne preparations
"immunoglobulins, normal human, for intravascular adm.",J06BA02,Immune sera and immunoglobulins
norgestrel and ethinylestradiol,G03AA06,Sex hormones and modulators of the genital system
glutamic acid hydrochloride,A09AB01,Digestives
combination of rauwolfia alkaloids and diuretics incl. other combinations,C02LA50,Antihypertensives
technetium (99mTc) microcolloid,V09DB02,Diagnostic radiopharmaceuticals
ioxilan,V08AB12,Contrast media
dropropizine,R05DB19,Cough and cold preparations
"Multivitamins, plain",A11BA,Vitamins
Belladonna and derivatives in combination with analgesics,A03DB,Drugs for functional gastrointestinal disorders
"Thiazides, combinations with psycholeptics and/or analgesics",C03AH,Diuretics
picotamide,B01AC03,Antithrombotic agents
phenelzine,N06AF03,Psychoanaleptics
gonadorelin,V04CM01,Diagnostic agents
acetylsalicylic acid,B01AC06,Antithrombotic agents
citric acid,A09AB04,Digestives
"Beta blocking agents, non-selective, and thiazides",C07BA,Beta blocking agents
"fluorescein, combinations",S01JA51,Ophthalmologicals
"lactulose, combinations",A06AD61,Drugs for constipation
Thiocarbamide derivatives for treatment of tuberculosis,J04AD,Antimycobacterials
ANTIPSORIATICS,D05,Antipsoriatics
OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC,G03X,Sex hormones and modulators of the genital system
buserelin,L02AE01,Endocrine therapy
ornidazole,G01AF06,Gynecological antiinfectives and antiseptics
barium sulfate with suspending agents,V08BA01,Contrast media
phenindamine,R06AX04,Antihistamines for systemic use
pranoprofen,S01BC09,Ophthalmologicals
indometacin,C01EB03,Cardiac therapy
salbutamol and beclometasone,R03AK13,Drugs for obstructive airway diseases
aluminium acetoacetate,A02AB05,Drugs for acid related disorders
methionine,V03AB26,All other therapeutic products
"pertussis, inactivated, whole cell, combinations with toxoids",J07AJ51,Vaccines
hexetidine,A01AB12,Stomatological preparations
metoprolol,C07AB02,Beta blocking agents
gallamine,M03AC02,Muscle relaxants
cinchocaine,N01BB06,Anesthetics
sulbactam,J01CG01,Antibacterials for systemic use
antimony pentasulfide,R05CA07,Cough and cold preparations
DRUGS FOR CONSTIPATION,A06A,Drugs for constipation
crilanomer,D03AX09,Preparations for treatment of wounds and ulcers
miocamycin,J01FA11,Antibacterials for systemic use
ropivacaine,N01BB09,Anesthetics
"Barbiturates for general anesthesia, plain",N01AF,Anesthetics
promethazine,R06AD02,Antihistamines for systemic use
dinoprost,G02AD01,Other gynecologicals
DERMATOLOGICALS,D,NA
medroxyprogesterone,G03AC06,Sex hormones and modulators of the genital system
atropine and psycholeptics,A03CB03,Drugs for functional gastrointestinal disorders
rifapentine,J04AB05,Antimycobacterials
"dihydroergocristine, combinations",C04AE54,Peripheral vasodilators
acetrizoic acid,V08AA07,Contrast media
erenumab,N02CX07,Analgesics
almasilate,A02AD05,Drugs for acid related disorders
DRUGS USED IN DIABETES,A10,Drugs used in diabetes
dexamethasone and antiinfectives,S01CA01,Ophthalmologicals
"influenza, inactivated, whole virus",J07BB01,Vaccines
Other chemotherapeutics in ATC,D06BX,Antibiotics and chemotherapeutics for dermatological use
indometacin and antiinfectives,S01CC02,Ophthalmologicals
Other agents against leishmaniasis and trypanosomiasis in ATC,P01CX,Antiprotozoals
DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04C,Urologicals
Short-acting sulfonamides,J01EB,Antibacterials for systemic use
potassium iodide,S01XA04,Ophthalmologicals
piketoprofen,M02AA28,Topical products for joint and muscular pain
diethylcarbamazine,P02CB02,Anthelmintics
betaxolol,C07AB05,Beta blocking agents
Allergen extracts,V01AA,Allergens
Occupation or Discipline,T090,NA
flupirtine,N02BG07,Analgesics
bamethan,C04AA31,Peripheral vasodilators
sultopride,N05AL02,Psycholeptics
ANTIBACTERIALS FOR SYSTEMIC USE,J01,Antibacterials for systemic use
ceftezole,J01DB12,Antibacterials for systemic use
lisinopril and amlodipine,C09BB03,Agents acting on the renin–angiotensin system
sirolimus,L04AA10,Immunosuppressants
hydrocortisone,D07AA02,Corticosteroids
hydroxyethylpromethazine,R06AD05,Antihistamines for systemic use
cobicistat,V03AX03,All other therapeutic products
aceneuramic acid,M09AX05,Other drugs for disorders of the musculo-skeletal system
ferrous amino acid complex,B03AD01,Antianemic preparations
amikacin,D06AX12,Antibiotics and chemotherapeutics for dermatological use
chlorphenamine,R06AB04,Antihistamines for systemic use
Hormone,T125,NA
rescinnamine,C02AA01,Antihypertensives
"Corticosteroids, moderately potent, combinations with antiseptics",D07BB,Corticosteroids
celecoxib,L01XX33,Antineoplastic agents
atorvastatin and perindopril,C10BX15,Lipid modifying agents
ANTIPROPULSIVES,A07D,Antidiarrheals
Other gynecologicals in ATC,G02CX,Other gynecologicals
Ginkgo folium,N06DX02,Psychoanaleptics
meticrane,C03BA09,Diuretics
naratriptan,N02CC02,Analgesics
Other drugs for disorders of the musculo-skeletal system in ATC,M09AX,Other drugs for disorders of the musculo-skeletal system
Chlorine containing product ectoparasiticides,P03AB,Ectoparasiticides
laquinimod,N07XX10,Other nervous system drugs
theodrenaline,C01CA23,Cardiac therapy
oxiracetam,N06BX07,Psychoanaleptics
opipramol,N06AA05,Psychoanaleptics
DRUGS FOR ACID RELATED DISORDERS,A02,Drugs for acid related disorders
metoprolol and felodipine,C07FB02,Beta blocking agents
iobenguane (131I),V10XA02,Therapeutic radiopharmaceuticals
trastuzumab,L01XC03,Antineoplastic agents
Vitamin K antagonists,B01AA,Antithrombotic agents
tocilizumab,L04AC07,Immunosuppressants
zidovudine,J05AF01,Antivirals for systemic use
colecalciferol,A11CC05,Vitamins
alcaftadine,S01GX11,Ophthalmologicals
polyplatillen,L01XA05,Antineoplastic agents
clenbuterol,R03AC14,Drugs for obstructive airway diseases
Non-selective monoamine reuptake inhibitors,N06AA,Psychoanaleptics
Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals in ATC,V09DX,Diagnostic radiopharmaceuticals
zorubicin,L01DB05,Antineoplastic agents
epacadostat,L01XX58,Antineoplastic agents
tiaprofenic acid,M01AE11,Anti-inflammatory and antirheumatic products
raloxifene,G03XC01,Sex hormones and modulators of the genital system
"brompheniramine, combinations",R06AB51,Antihistamines for systemic use
levonorgestrel,G03AC03,Sex hormones and modulators of the genital system
alvimopan,A06AH02,Drugs for constipation
darunavir and cobicistat,J05AR14,Antivirals for systemic use
"Fenamates, antiinflammatory and antirheumatic drugs",M01AG,Anti-inflammatory and antirheumatic products
ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01A,Pituitary and hypothalamic hormones and analogues
Specific immunoglobulin combinations,J06BB30,Immune sera and immunoglobulins
cocaine,S01HA01,Ophthalmologicals
methylscopolamine,S01FA03,Ophthalmologicals
rifampicin,J04AB02,Antimycobacterials
ormeloxifene,G03XC04,Sex hormones and modulators of the genital system
"calcium dobesilate, combinations",C05BX51,Vasoprotectives
ephedrine,R01AA03,Nasal preparations
ferrous ascorbate,B03AA10,Antianemic preparations
insulin aspart,A10AD05,Drugs used in diabetes
pilocarpine,S01EB01,Ophthalmologicals
chlorphenoxamine,D04AA34,Antipruritics
"Calcium, combinations with vitamin D and/or other drugs",A12AX,Mineral supplements
bepridil,C08EA02,Calcium channel blockers
hydrocortisone,C05AA01,Vasoprotectives
tilactase,A09AA04,Digestives
sodium tetradecyl sulfate,C05BB04,Vasoprotectives
cyclothiazide and potassium,C03AB09,Diuretics
degarelix,L02BX02,Endocrine therapy
fondaparinux,B01AX05,Antithrombotic agents
oxyfedrine,C01DX03,Cardiac therapy
tiopronin,G04BX16,Urologicals
prednisolone,C05AA04,Vasoprotectives
Drugs for treatment of hypercalcemia,V03AG,All other therapeutic products
"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A,Corticosteroids for systemic use
ceftobiprole medocaril,J01DI01,Antibacterials for systemic use
"Angiotensin II receptor blockers (ARBs), plain",C09CA,Agents acting on the renin–angiotensin system
helium,V03AN03,All other therapeutic products
phloroglucinol,A03AX12,Drugs for functional gastrointestinal disorders
olmesartan medoxomil,C09CA08,Agents acting on the renin–angiotensin system
acetohydroxamic acid,G04BX03,Urologicals
prednisone,A07EA03,Antidiarrheals
antacids containing magnesium compounds,A02AA,Drugs for acid related disorders
cevimeline,N07AX03,Other nervous system drugs
sodium feredetate,B03AB03,Antianemic preparations
rimonabant,A08AX01,Antiobesity preparations
PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,Sex hormones and modulators of the genital system
bevonium,A03AB13,Drugs for functional gastrointestinal disorders
sitagliptin,A10BH01,Drugs used in diabetes
povidone-iodine,S01AX18,Ophthalmologicals
copper sulfate,V03AB20,All other therapeutic products
electrolytes,B05BB01,Blood substitutes and perfusion solutions
"ispaghula, combinations",A06AC51,Drugs for constipation
"coagulation factor IX, II, VII and X in combination",B02BD01,Antihemorrhagics
technetium (99mTc) gluconate,V09CA05,Diagnostic radiopharmaceuticals
gestonorone,L02AB03,Endocrine therapy
gatifloxacin,J01MA16,Antibacterials for systemic use
indocyanine green,V04CX01,Diagnostic agents
colestyramine,C10AC01,Lipid modifying agents
vilanterol and fluticasone furoate,R03AK10,Drugs for obstructive airway diseases
enflurane,N01AB04,Anesthetics
"ADRENERGICS, INHALANTS",R03A,Drugs for obstructive airway diseases
Gene or Genome,T028,NA
ketamine,N01AX03,Anesthetics
cefradine,J01DB09,Antibacterials for systemic use
Family Group,T099,NA
"Organophosphorous compounds, antitrematodals",P02BB,Anthelmintics
"DIGESTIVES, INCL. ENZYMES",A09A,Digestives
lanreotide,H01CB03,Pituitary and hypothalamic hormones and analogues
budesonide,A07EA06,Antidiarrheals
Embryonic Structure,T018,NA
"Barbiturates, combinations",N05CB,Psycholeptics
triamcinolone and antiinfectives,S02CA04,Otologicals
"meningococcus B, multicomponent vaccine",J07AH09,Vaccines
"measles, live attenuated",J07BD01,Vaccines
lomefloxacin,S01AE04,Ophthalmologicals
"nitrous oxide, combinations",N01AX63,Anesthetics
proquazone,M01AX13,Anti-inflammatory and antirheumatic products
"Carbamide products, emollients and protectives",D02AE,Emollients and protectives
clofezone,M02AA03,Topical products for joint and muscular pain
hydromorphone and naloxone,N02AA53,Analgesics
Opioid anesthetics,N01AH,Anesthetics
metandienone,A14AA03,Anabolic agents for systemic use
sinecatechins,D06BB12,Antibiotics and chemotherapeutics for dermatological use
thiotepa,L01AC01,Antineoplastic agents
cangrelor,B01AC25,Antithrombotic agents
dapivirine,G01AX17,Gynecological antiinfectives and antiseptics
TONICS,A13,Tonics
fructose,V06DC02,General nutrients
aminobutyric acid,N03AG03,Antiepileptics
Benzodiazepine derivative anxiolytics,N05BA,Psycholeptics
cefoperazone,J01DD12,Antibacterials for systemic use
technetium (99mTc) exametazime labelled cells,V09HA02,Diagnostic radiopharmaceuticals
tenitramine,C01DA38,Cardiac therapy
"allopurinol, combinations",M04AA51,Antigout preparations
"acetylsalicylic acid, combinations with psycholeptics",N02BA71,Analgesics
Long-acting sulfonamides,J01ED,Antibacterials for systemic use
prednicarbate,D07AC18,Corticosteroids
"Antracen derivatives, topical antipsoriatics",D05AC,Antipsoriatics
azelaic acid,D10AX03,Anti-acne preparations
ANTIMYCOBACTERIALS,J04,Antimycobacterials
"LIVER THERAPY, LIPOTROPICS",A05B,Bile and liver therapy
indometacin,M01AB01,Anti-inflammatory and antirheumatic products
fluocortolone,D07AC05,Corticosteroids
oxycodone and naltrexone,N02AA56,Analgesics
etofenamate,M02AA06,Topical products for joint and muscular pain
moxifloxacin,S01AE07,Ophthalmologicals
entacapone,N04BX02,Anti-parkinson drugs
trichlormethiazide and potassium,C03AB06,Diuretics
glutamine,A16AA03,Other alimentary tract and metabolism products
"Hydantoin derivatives, antiepileptics",N03AB,Antiepileptics
ipratropium bromide,R01AX03,Nasal preparations
medroxyprogesterone and estrogen,G03FB06,Sex hormones and modulators of the genital system
spironolactone,C03DA01,Diuretics
Benzodiazepine derivative hypnotics and sedatives,N05CD,Psycholeptics
Vitamin A and D in combination,A11CB,Vitamins
hydroxycarbamide,L01XX05,Antineoplastic agents
phenacemide,N03AX07,Antiepileptics
metildigoxin,C01AA08,Cardiac therapy
bosentan,C02KX01,Antihypertensives
metformin and evogliptin,A10BD22,Drugs used in diabetes
prasterone and estrogen,G03EA03,Sex hormones and modulators of the genital system
chloramphenicol,S02AA01,Otologicals
VIRAL VACCINES,J07B,Vaccines
Carbamate anxiolytics,N05BC,Psycholeptics
bisacodyl,A06AG02,Drugs for constipation
phenindione,B01AA02,Antithrombotic agents
Hydrazinophthalazine derivatives and diuretics,C02LG,Antihypertensives
"acetyldigoxin, combinations",C01AA52,Cardiac therapy
eritrityl tetranitrate,C01DA13,Cardiac therapy
