Drug,CHEMBL,ATC
alglucerase,CHEMBL1201633,A16AB01
oxandrolone,CHEMBL1200436,A14AA08
trimazosin,CHEMBL3989848,C02CA03
"Element, Ion, or Isotope",CHEMBL44410,T196
"hepatitis B, purified antigen",CHEMBL4297973,J07BC01
barbexaclone,CHEMBL3833301,N03AA04
famciclovir,CHEMBL880,S01AD07
bopindolol and other diuretics,CHEMBL357995,C07CA17
alfentanil,CHEMBL1200531,N01AH02
ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,CHEMBL1200452,C02L
Glycopeptide antibacterials,CHEMBL264077,J01XA
cefminox,CHEMBL1276342,J01DC12
UROLOGICALS,CHEMBL1242,G04B
EMOLLIENTS AND PROTECTIVES,CHEMBL985,D02A
sodium phenylbutyrate,CHEMBL1746,A16AX03
hexocyclium,CHEMBL1201325,A03AB10
Other antimalarials in ATC,CHEMBL3527138,P01BX
nevirapine,CHEMBL57,J05AG01
cyclothiazide,CHEMBL61593,C03AA09
sulfalene,CHEMBL1525826,J01ED02
fluperolone,CHEMBL2107401,D07AB05
"Corticosteroids, potent, combinations with antiseptics",CHEMBL514315,D07BC
Anatomical Abnormality,CHEMBL1201338,T190
Antivertigo preparations,CHEMBL43064,N07CA
"ELECTROLYTES WITH CARBOHYDRATES, ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",CHEMBL2108174,A07C
aloxiprin,CHEMBL2108222,B01AC15
insulin lispro,CHEMBL1201538,A10AB04
"Succinimide derivatives, antiepileptics",CHEMBL696,N03AD
PANCREATIC HORMONES,CHEMBL4299330,H04
hydroquinone,CHEMBL537,D11AX11
diiodotyrosine,CHEMBL1236469,H03BX01
erythropoietin,CHEMBL2109092,B03XA01
chloramphenicol,CHEMBL130,G01AA05
zinc preparations,CHEMBL3988900,C05AX04
chlordiazepoxide,CHEMBL2260845,N05BA02
tegaserod,CHEMBL76370,A06AX06
furazidin,CHEMBL3707254,J01XE03
tetryzoline,CHEMBL1266,R01AB03
Selective serotonin reuptake inhibitors,CHEMBL809,N06AB
pitofenone and analgesics,CHEMBL2104821,A03DA02
carfecillin,CHEMBL1095283,G01AA08
flunisolide,CHEMBL1512,R01AD04
triflusal,CHEMBL1332032,B01AC18
fluvoxamine,CHEMBL814,N06AB08
ciprofloxacin and ornidazole,CHEMBL1077975,J01RA12
bilastine,CHEMBL1742423,R06AX29
efaproxiral,CHEMBL2107744,L01XD06
minaprine,CHEMBL1364551,N06AX07
mannitol,CHEMBL689,A06AD16
artemether and lumefantrine,CHEMBL4297927,P01BF01
paclitaxel poliglumex,CHEMBL2108628,L01CD03
heparin,CHEMBL1201513,S01XA14
peginesatide,CHEMBL2107866,B03XA04
metirosine,CHEMBL1200862,C02KB01
atorvastatin and ezetimibe,CHEMBL1487,C10BA05
mesoridazine,CHEMBL1201052,N05AC03
Other renal system diagnostic radiopharmaceuticals in ATC,CHEMBL2109038,V09CX
netilmicin,CHEMBL3989829,J01GB07
camylofin and analgesics,CHEMBL253592,A03DA05
andexanet alfa,CHEMBL3301583,V03AB38
ferrous succinate,CHEMBL3707232,B03AA06
DIET FORMULATIONS FOR TREATMENT OF OBESITY,CHEMBL496957,V06A
gadobutrol,CHEMBL2218860,V08CA09
insulin detemir,CHEMBL2104391,A10AE05
acetazolamide,CHEMBL20,S01EC01
nitrofural,CHEMBL869,D09AA03
uramustine,CHEMBL1488,L01AD08
absorbable gelatin sponge,CHEMBL2107991,B02BC01
"Technetium 99m compounds, hepatic and reticulo endothelial system diagnostic radiopharmaceuticals",CHEMBL2107894,V09DA
"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",CHEMBL440264,J07BM03
trandolapril,CHEMBL1519,C09AA10
clenbuterol and ambroxol,CHEMBL153479,R03CC63
Non-watersoluble X-ray contrast media,CHEMBL2104393,V08AD
josamycin,CHEMBL224436,J01FA07
aprotinin,CHEMBL1201619,B02AB01
Antiinfectives and antiseptics for local oral treatment,CHEMBL496957,A01AB
gonadotropin combinations,CHEMBL1201509,G03GA30
sulbentine,CHEMBL151803,D01AE09
ANTISEPTICS AND DISINFECTANTS,CHEMBL408917,D08A
Mental or Behavioral Dysfunction,CHEMBL3645269,T048
natalizumab,CHEMBL1201607,L04AA23
xylometazoline,CHEMBL1256400,R01AB06
succinimide,CHEMBL561915,G04BX10
brinzolamide,CHEMBL220491,S01EC04
methylscopolamine,CHEMBL3091667,A03BB03
Biologic Function,CHEMBL2108550,T038
Qualitative Concept,CHEMBL1741134,T080
OTHER ANTIANEMIC PREPARATIONS in ATC,CHEMBL3527138,B03X
tiadenol,CHEMBL1697775,C10AX03
epinephrine,CHEMBL1256958,R03AA01
Clinical Attribute,CHEMBL282468,T201
dienogest and estrogen,CHEMBL1201864,G03FA15
VASODILATORS USED IN CARDIAC DISEASES,CHEMBL1651913,C01D
ampicillin,CHEMBL1200758,S01AA19
diphtheria-rubella-tetanus,CHEMBL2108107,J07CA03
sodium stibogluconate,CHEMBL3764926,P01CB02
triprolidine,CHEMBL3188034,R06AX07
antacids containing aluminium compounds,CHEMBL3707210,A02AB
"ESTROGENS, SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM",CHEMBL1697842,G03C
sertindole,CHEMBL12713,N05AE03
multivitamins and calcium,CHEMBL1744447,A11AA02
ANTIFUNGALS FOR SYSTEMIC USE,CHEMBL496957,D01B
allylestrenol,CHEMBL2105618,G03DC01
iohexol,CHEMBL1200455,V08AB02
fosfocreatine,CHEMBL1204644,C01EB06
tetracaine,CHEMBL1255654,N01BA03
Antihistamines for topical use,CHEMBL2108694,D04AA
cilazapril and diuretics,CHEMBL515606,C09BA08
panobinostat,CHEMBL483254,L01XX42
brodimoprim,CHEMBL31891,J01EA02
"hemophilus influenzae B, combinations with pertussis and toxoids",CHEMBL2109219,J07AG52
secnidazole,CHEMBL498847,P01AB07
fesoterodine,CHEMBL1201764,G04BD11
ubidecarenone,CHEMBL454801,C01EB09
canagliflozin,CHEMBL2048484,A10BK02
mannitol,CHEMBL689,B05BC01
Regulation or Law,CHEMBL3645269,T089
ACE inhibitors and diuretics,CHEMBL295392,C09BA
VASOPROTECTIVES,CHEMBL3182320,C05
etynodiol and estrogen,CHEMBL592868,G03FA06
carfilzomib,CHEMBL451887,L01XX45
eluxadoline,CHEMBL2159122,A07DA06
indium (111In) satumomab pendetide,CHEMBL1743091,V09IB02
ethanol,CHEMBL545,V03AB16
dextranomer,CHEMBL2108201,D03AX02
tetanus toxoid,CHEMBL2108875,J07AM01
collagenase clostridium histolyticum,CHEMBL2108709,M09AB02
sitaxentan,CHEMBL2105740,C02KX03
tropisetron,CHEMBL4303202,A04AA03
"Combinations of sulfonamides and trimethoprim, incl. derivatives",CHEMBL405284,J01EE
etanercept,CHEMBL1201572,L04AB01
leuprorelin and bicalutamide,CHEMBL409,L02AE51
"phenazone, combinations with psycholeptics",CHEMBL1526434,N02BB71
"Antivirals, topical",CHEMBL2108694,D06BB
edetates,CHEMBL3989507,V03AB03
"mumps, live attenuated",CHEMBL2109201,J07BE01
Salicylic acid emollient and protective preparations,CHEMBL424,D02AF
nintedanib,CHEMBL3039504,L01XE31
cloranolol,CHEMBL156791,C07AA27
calcium acetate and magnesium carbonate,CHEMBL1200736,V03AE04
methenamine,CHEMBL1201270,J01XX05
natural phospholipids,CHEMBL2108100,R07AA02
bencyclane,CHEMBL2105930,C04AX11
"clonidine and diuretics, combinations with other drugs",CHEMBL1705,C02LC51
tolmetin,CHEMBL1200613,M02AA21
catridecacog,CHEMBL2108282,B02BD11
clonidine,CHEMBL1705,C02AC01
Psoralens for topical use,CHEMBL2108694,D05AD
Steroid antibacterials,CHEMBL98374,J01XC
tiratricol,CHEMBL41632,D11AX08
"insulins and analogs for injection combinations, long-acting",CHEMBL1098659,A10AE30
cocaine,CHEMBL120901,S02DA02
"Diphenylmethane derivatives, anxiolytics",CHEMBL896,N05BB
"Beta blocking agents, other combinations",CHEMBL3527138,C07FX
amoxapine,CHEMBL1113,N06AA17
iloperidone,CHEMBL14376,N05AX14
bendroflumethiazide and potassium-sparing agents,CHEMBL1684,C03EA13
piroxicam,CHEMBL527,M01AC01
calcium acetate,CHEMBL1200800,V03AE07
magnesium sulfate,CHEMBL3989857,A06AD04
adalimumab,CHEMBL1201580,L04AB04
technetium (99mTc) tetrofosmin,CHEMBL1200857,V09GA02
ofloxacin and ornidazole,CHEMBL1449676,J01RA09
calcium (different salts in combination),CHEMBL2108692,A12AA20
iproclozide,CHEMBL91238,N06AF06
Drugs for treatment of hypoglycemia,CHEMBL496957,V03AH
allopurinol,CHEMBL1467,M04AA01
varenicline,CHEMBL1396,N07BA03
tivozanib,CHEMBL1289494,L01XE34
ANTIANDROGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,CHEMBL1276308,G03H
dexamethasone,CHEMBL384467,D10AA03
"methocarbamol, combinations with psycholeptics",CHEMBL1201117,M03BA73
tetracaine,CHEMBL1255654,C05AD02
Angiotensin II receptor blockers (ARBs) and calcium channel blockers,CHEMBL191,C09DB
Synthetic anticholinergic agents in combination with psycholeptics,CHEMBL1201488,A03CA
dequalinium,CHEMBL2113330,G01AC05
technetium (99mTc) sulfur colloid,CHEMBL1201529,V09DB05
"iron, multivitamins and minerals",CHEMBL2447909,B03AE04
gallopamil,CHEMBL51149,C08DA02
terazosin,CHEMBL3989562,G04CA03
decamethrin,CHEMBL1593566,P03BA03
emepronium and psycholeptics,CHEMBL2106122,A03CA30
fluspirilene,CHEMBL46516,N05AG01
procaine,CHEMBL1628385,C05AD05
magnesium oxide,CHEMBL1200572,A12CC10
opium derivatives and expectorants,CHEMBL2107914,R05FA02
Human-caused Phenomenon or Process,CHEMBL1201631,T068
enoxaparin,CHEMBL1201476,B01AB05
cathine,CHEMBL1412041,A08AA07
dexketoprofen,CHEMBL75435,M01AE17
ibuprofen,CHEMBL521,M01AE01
metformin,CHEMBL1431,A10BA02
batroxobin,CHEMBL2108904,B02BX03
zidovudine and lamivudine,CHEMBL52100,J05AR01
naldemedine,CHEMBL2105755,A06AH05
"Beta blocking agents, selective, and thiazides",CHEMBL6995,C07BB
demecarium,CHEMBL1200514,S01EB04
BACTERIAL VACCINES,CHEMBL2108875,J07A
Other cough suppressants and expectorants in ATC,CHEMBL151445,R05FB
cromoglicic acid,CHEMBL428880,S01GX01
cloridarol,CHEMBL2104094,C01DX15
prenalterol,CHEMBL3085478,C01CA13
tetryzoline,CHEMBL1266,R01AA06
pirarubicin,CHEMBL2354444,L01DB08
"colecalciferol, combinations",CHEMBL91,A11CC55
radium (223Ra) dichloride,CHEMBL2107816,V10XX03
flurithromycin,CHEMBL2106403,J01FA14
acetyldihydrocodeine,CHEMBL3092041,R05DA12
metformin and saxagliptin,CHEMBL1431,A10BD10
proxymetacaine,CHEMBL1196,S01HA04
benzathine phenoxymethylpenicillin,CHEMBL3989837,J01CE10
"Vinca alkaloids and analogues, antineoplastic",CHEMBL159,L01CA
"Watersoluble, hepatotropic X-ray contrast media",CHEMBL867,V08AC
levacetylmethadol,CHEMBL1514,N07BC03
omidenepag,CHEMBL3707245,S01EX06
Caries prophylactic agents,CHEMBL1909079,A01AA
policosanol,CHEMBL3707352,C10AX08
guanazodine,CHEMBL2008565,C02CC06
tretoquinol,CHEMBL299175,R03CC09
fluostigmine,CHEMBL1025,S01EB07
capecitabine,CHEMBL1773,L01BC06
"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",CHEMBL669,M03B
"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",CHEMBL276443,A08A
desogestrel,CHEMBL1533,G03AC09
"zidovudine, lamivudine and abacavir",CHEMBL1200619,J05AR04
tibezonium iodide,CHEMBL2107065,A01AB15
OTOLOGICALS,CHEMBL3707241,S02
DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,CHEMBL585,C03E
celiprolol,CHEMBL1742424,C07AB08
inositol,CHEMBL1094982,A11HA07
"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",CHEMBL3707211,G01A
"dodeclonium bromide, combinations",CHEMBL2106199,D08AJ59
"pilocarpine, combinations",CHEMBL1213136,S01EB51
carboprost,CHEMBL1237122,G02AD04
siltuximab,CHEMBL1743070,L04AC11
erythromycin,CHEMBL1200506,J01FA01
floxuridine,CHEMBL601287,L01BC09
Vitamin IV solution additives,CHEMBL2108251,B05XC
iopydol,CHEMBL2104393,V08AD02
polymyxin B,CHEMBL3989714,S02AA11
talastine,CHEMBL1742439,R06AB07
leflunomide,CHEMBL960,L04AA13
piperacillin,CHEMBL1200820,J01CA12
gentamicin,CHEMBL194126,S02AA14
yohimbine,CHEMBL15245,G04BE04
oxomemazine,CHEMBL2104734,R06AD08
chondroitin sulfate,CHEMBL2303614,M01AX25
"Phenothiazine derivatives, systemic antihistamines",CHEMBL1200959,R06AD
alum,CHEMBL2107960,S01XA07
Other antifungals for topical use in ATC,CHEMBL2108694,D01AE
fluocortolone and antiinfectives,CHEMBL2107415,S01CA04
fludiazepam,CHEMBL13291,N05BA17
tosufloxacin,CHEMBL273348,J01MA22
follitropin alfa,CHEMBL1201692,G03GA05
"lansoprazole, amoxicillin and levofloxacin",CHEMBL2237108,A02BD10
sarilumab,CHEMBL2108730,L04AC14
desoxycortone,CHEMBL1200542,H02AA03
"Corticosteroids, weak (group I)",CHEMBL2108795,D07AA
meclofenamic acid,CHEMBL509,M02AA18
chloramphenicol,CHEMBL130,D06AX02
arterolane and piperaquine,CHEMBL539666,P01BX02
teicoplanin,CHEMBL2367892,J01XA02
demeclocycline,CHEMBL1591,J01AA01
sulfadiazine,CHEMBL1382627,J01EC02
metamizole sodium,CHEMBL461522,N02BB02
MINERAL SUPPLEMENTS,CHEMBL2109152,A12
amisulpride,CHEMBL243712,N05AL05
vitamin A concentrates,CHEMBL986,V04CB01
fluorometholone and antiinfectives,CHEMBL1200600,S01CA07
fenoterol and ipratropium bromide,CHEMBL2134724,R03AL01
tetracycline,CHEMBL1440,S01AA09
stavudine,CHEMBL991,J05AF04
Other anti-dementia drugs in ATC,CHEMBL807,N06DX
cetuximab,CHEMBL1201577,L01XC06
CALCIUM CHANNEL BLOCKERS,CHEMBL92870,C08
veratrum,CHEMBL1201531,C02KA01
ozanimod,CHEMBL3707246,L04AA38
cefaloridine,CHEMBL316157,J01DB02
amiloride,CHEMBL1398126,C03DB01
sulfobromophthalein,CHEMBL574431,V04CE02
phenprobamate,CHEMBL1079576,M03BA01
Vitamin D and analogues,CHEMBL415022,A11CC
"Oxazolidine derivatives, antiepileptics",CHEMBL1100,N03AC
oxametacin,CHEMBL295829,M01AB13
"limbal stem cells, autologous",CHEMBL4298054,S01XA19
"chlorphenamine, combinations",CHEMBL505,R06AB54
papaverine,CHEMBL19224,A03AD01
fenetylline,CHEMBL2111152,N06BA10
barnidipine,CHEMBL2103761,C08CA12
vinflunine,CHEMBL2110725,L01CA05
benzydamine,CHEMBL1528134,G02CC03
bitolterol,CHEMBL1200405,R03AC17
benzoyl peroxide,CHEMBL1200370,D10AE01
thyrotropin alfa,CHEMBL1201533,H01AB01
naftifine,CHEMBL1200493,D01AE22
cinnarizine,CHEMBL43064,N07CA02
OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS in ATC,CHEMBL3527138,A16A
deferoxamine,CHEMBL556,V03AC01
ornidazole,CHEMBL1449676,J01XD03
valbenazine,CHEMBL2364639,N07XX13
styramate,CHEMBL2104534,M03BA04
dexibuprofen,CHEMBL175,M01AE14
cefozopran,CHEMBL1276663,J01DE03
artesunate and pyronaridine,CHEMBL361497,P01BF06
lymecycline,CHEMBL2103929,J01AA04
dibutylphthalate,CHEMBL272485,P03BX03
bufexamac,CHEMBL94394,M02AA09
"codeine, combinations excl. psycholeptics",CHEMBL1201099,N02AA59
OTHER ANTIHYPERTENSIVES in ATC,CHEMBL3527138,C02K
betaine,CHEMBL95889,A16AA06
cefdinir,CHEMBL927,J01DD15
modafinil,CHEMBL1373,N06BA07
tiagabine,CHEMBL1027,N03AG06
Other dopaminergic agents in ATC,CHEMBL3527138,N04BX
Coxibs,CHEMBL166863,M01AH
monoxerutin,CHEMBL3527416,C05CA02
dasatinib,CHEMBL1421,L01XE06
"Technetium 99m compounds, inflammation and infection detection radiopharmaceuticals",CHEMBL2108809,V09HA
chenodeoxycholic acid,CHEMBL240597,A05AA01
orphenadrine (citrate),CHEMBL1200395,M03BC01
fluocinonide,CHEMBL3039305,D07AC08
meprotixol,CHEMBL2105167,R05DB22
Carbohydrate nutrients,CHEMBL320894,V06DC
lidocaine,CHEMBL1200409,C01BB01
captodiame,CHEMBL2110809,N05BB02
Benzodiazepine derivative antiepileptics,CHEMBL4297264,N03AE
betazole,CHEMBL1201323,V04CG02
Rabies vaccines,CHEMBL1201600,J07BG
BLOOD AND RELATED PRODUCTS,CHEMBL2108943,B05A
methylthioninium chloride,CHEMBL405110,V04CG05
dextromethorphan,CHEMBL52440,R05DA09
dydrogesterone,CHEMBL1200853,G03DB01
"Nucleic Acid, Nucleoside, or Nucleotide",CHEMBL265382,T114
"ACE inhibitors, other combinations in ATC",CHEMBL295392,C09BX
"measles, combinations with mumps, live attenuated",CHEMBL2109201,J07BD51
levomepromazine,CHEMBL2104973,N05AA02
Diphtheria vaccines,CHEMBL2108417,J07AF
polystyrene sulfonate,CHEMBL1201484,V03AE01
thonzylamine,CHEMBL1623738,R01AC06
ethinylestradiol,CHEMBL691,G03CA01
meticillin,CHEMBL575,J01CF03
metipranolol,CHEMBL1200947,S01ED04
tolazoline,CHEMBL1689,C04AB02
clidinium and psycholeptics,CHEMBL1200950,A03CA02
cefoperazone and beta-lactamase inhibitor,CHEMBL3137674,J01DD62
hexobendine,CHEMBL127300,C01DX06
ioversol,CHEMBL1200614,V08AB07
melperone,CHEMBL1531134,N05AD03
flurazepam,CHEMBL3989724,N05CD01
pantethine,CHEMBL2104786,A11HA32
ferric proteinsuccinylate,CHEMBL2108597,B03AB09
raltitrexed,CHEMBL225071,L01BA03
Corticosteroids for local oral treatment,CHEMBL496957,A01AC
bisoprolol and thiazides,CHEMBL645,C07BB07
glycopyrronium bromide and psycholeptics,CHEMBL3707243,A03CA05
glatiramer acetate,CHEMBL1201507,L03AX13
diflunisal,CHEMBL898,N02BA11
paricalcitol,CHEMBL1200622,H05BX02
sodium bicarbonate,CHEMBL1353,B05XA02
alogliptin,CHEMBL376359,A10BH04
albumin,CHEMBL1201451,B05AA01
lisuride,CHEMBL461353,N02CA07
"Technetium 99m compounds, renal system diagnostic radiopharmaceuticals",CHEMBL1200421,V09CA
coagulation factor IX,CHEMBL4297986,B02BD04
phenazopyridine,CHEMBL1201022,G04BX06
miconazole,CHEMBL1559,D01AC02
sodium selenate,CHEMBL114503,A12CE01
guacetisal,CHEMBL2105097,N02BA14
chlortalidone and potassium-sparing agents,CHEMBL3989462,C03EA06
OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CHEMBL1628401,S03
electrolytes in combination with other drugs,CHEMBL3527138,B05BB04
OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM in ATC,CHEMBL1639,C09X
"Sulfonamides, topical",CHEMBL2108694,D06BA
"Nitroimidazole derivatives, antiprotozoal agents against leishmaniasis and trypanosomiasis",CHEMBL1631694,P01CA
azlocillin,CHEMBL1201041,J01CA09
"Serotonin (5HT3) antagonists, antiemetics and antinauseants",CHEMBL1189679,A04AA
Combinations of adrenergics,CHEMBL1200718,R03AH
carisbamate,CHEMBL2087003,N03AX19
mometasone,CHEMBL1201404,D07XC03
CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,CHEMBL75753,C01C
"timolol, combinations",CHEMBL1200870,S01ED51
donepezil,CHEMBL502,N06DA02
Polymyxins,CHEMBL1088938,J01XB
ivacaftor,CHEMBL2010601,R07AX02
"encephalitis, Japanese, live attenuated",CHEMBL2108020,J07BA03
"oxyfedrine, combinations",CHEMBL1651913,C01DX53
enalapril and diuretics,CHEMBL1200659,C09BA02
Typhus (exanthematicus) vaccines,CHEMBL2108823,J07AR
mepyramine,CHEMBL511,D04AA02
arsthinol,CHEMBL1788384,P01AR01
oxyphenonium,CHEMBL1201286,A03AB03
simvastatin and acetylsalicylic acid,CHEMBL1201391,C10BX01
"Pyrazolone derivatives, high-ceiling diuretics",CHEMBL1697760,C03CD
Other agents against amoebiasis and other protozoal diseases in ATC,CHEMBL3527138,P01AX
glimepiride,CHEMBL1481,A10BB12
IMMUNOGLOBULINS,CHEMBL3544926,J06B
sitagliptin and simvastatin,CHEMBL1201391,A10BH51
tromantadine,CHEMBL3989506,D06BB02
Corticosteroids and antiinfectives in combination,CHEMBL1200452,S03CA
ticarcillin and beta-lactamase inhibitor,CHEMBL1449,J01CR03
indium (111In) imciromab,CHEMBL2109038,V09GX02
fenoverine,CHEMBL1512949,A03AX05
diazoxide,CHEMBL4297276,C02DA01
"omeprazole, amoxicillin and metronidazole",CHEMBL2105950,A02BD01
Quinine and derivatives for DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,CHEMBL2079611,M09AA
mephenytoin,CHEMBL861,N03AB04
"potassium chloride, combinations",CHEMBL1200731,A12BA51
clonidine and diuretics,CHEMBL1705,C02LC01
mogamulizumab,CHEMBL1743041,L01XC25
triptorelin,CHEMBL1200554,L02AE04
oxygen,CHEMBL1234886,V03AN01
obidoxime,CHEMBL451635,V03AB13
interferon beta-1b,CHEMBL1201563,L03AB08
ajmaline,CHEMBL2105617,C01BA05
sparfloxacin,CHEMBL850,J01MA09
methoxsalen,CHEMBL416,D05AD02
ethisterone and estrogen,CHEMBL241694,G03FA03
topiramate,CHEMBL220492,N03AX11
sotalol and acetylsalicylic acid,CHEMBL2429949,C07FX02
trihexyphenidyl,CHEMBL1490,N04AA01
"epinephrine, combinations",CHEMBL1256958,S01EA51
diclofenac,CHEMBL139,D11AX18
cannabinoids,CHEMBL3833333,N02BG10
Opioids in combination with antispasmodics,CHEMBL1200642,N02AG
betamethasone and antiinfectives,CHEMBL1697784,S03CA06
clometocillin,CHEMBL2106548,J01CE07
Lincosamides,CHEMBL1447,J01FF
"vitamin C products, plain",CHEMBL196,A11GA
itopride,CHEMBL2107457,A03FA07
hydrocortisone,CHEMBL389621,S02BA01
metformin and sitagliptin,CHEMBL1431,A10BD07
fluocinonide,CHEMBL3039305,C05AA11
"Beta-lactamase inhibitors, systemic penicillins",CHEMBL404,J01CG
naftidrofuryl,CHEMBL1443491,C04AX21
"Substituted ethylene diamines, systemic antihistamines",CHEMBL1411979,R06AC
niceritrol,CHEMBL1697762,C10AD01
Vitamin B1 in combination with vitamin B6 and/or vitamin B12,CHEMBL2105813,A11DB
foscarnet,CHEMBL666,J05AD01
deserpidine and diuretics,CHEMBL1200515,C02LA03
Temporal Concept,CHEMBL209821,T079
paraldehyde,CHEMBL1410743,N05CC05
Other hormone antagonists and related agents in ATC,CHEMBL1252,L02BX
ANTIVARICOSE THERAPY DRUGS,CHEMBL1231723,C05B
"metronidazole, combinations",CHEMBL1200869,P01AB51
temsirolimus,CHEMBL1201182,L01XE09
"Phenylalkylamine derivatives, non-selective calcium channel blockers",CHEMBL1008,C08EA
xibornol,CHEMBL2104519,J01XX02
tolbutamide,CHEMBL782,V04CA01
pamidronic acid,CHEMBL834,M05BA03
Aldehydes and derivatives,CHEMBL9022,N05CC
procyclidine,CHEMBL1761,N04AA04
Antiinfective irrigating solution combinations,CHEMBL2108251,B05CA10
tolperisone,CHEMBL1076211,M03BX04
IODINE THERAPY DRUGS,CHEMBL1201225,H03C
atazanavir and ritonavir,CHEMBL1200678,J05AR23
nizofenone,CHEMBL2106822,N06BX10
fenoterol,CHEMBL32800,G02CA03
"Proteinase inhibitors, antifibrinolytic",CHEMBL4297879,B02AB
Guanidine derivatives and diuretics,CHEMBL821,C02LF
"histapyrrodine, combinations",CHEMBL2105039,R06AC52
panipenem and betamipron,CHEMBL3137686,J01DH55
"lorazepam, combinations",CHEMBL580,N05BA56
ibandronic acid,CHEMBL997,M05BA06
magnesium carbonate,CHEMBL1200736,A06AD01
ethanol,CHEMBL545,V03AZ01
ribavirin,CHEMBL398463,J05AP01
erythromycin,CHEMBL1200506,D10AF02
"immunoglobulins, normal human, for intravascular adm.",CHEMBL496957,J06BA02
norgestrel and ethinylestradiol,CHEMBL2107797,G03AA06
glutamic acid hydrochloride,CHEMBL1255943,A09AB01
combination of rauwolfia alkaloids and diuretics incl. other combinations,CHEMBL3508697,C02LA50
technetium (99mTc) microcolloid,CHEMBL1201524,V09DB02
ioxilan,CHEMBL1201075,V08AB12
dropropizine,CHEMBL151445,R05DB19
"Multivitamins, plain",CHEMBL643,A11BA
Belladonna and derivatives in combination with analgesics,CHEMBL2108906,A03DB
"Thiazides, combinations with psycholeptics and/or analgesics",CHEMBL1763,C03AH
picotamide,CHEMBL1257015,B01AC03
phenelzine,CHEMBL1089,N06AF03
gonadorelin,CHEMBL1200511,V04CM01
acetylsalicylic acid,CHEMBL25,B01AC06
citric acid,CHEMBL1261,A09AB04
"Beta blocking agents, non-selective, and thiazides",CHEMBL266195,C07BA
"fluorescein, combinations",CHEMBL4297067,S01JA51
"lactulose, combinations",CHEMBL296306,A06AD61
Thiocarbamide derivatives for treatment of tuberculosis,CHEMBL405284,J04AD
ANTIPSORIATICS,CHEMBL503160,D05
OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM in ATC,CHEMBL295392,G03X
buserelin,CHEMBL2106198,L02AE01
ornidazole,CHEMBL1449676,G01AF06
barium sulfate with suspending agents,CHEMBL2105897,V08BA01
phenindamine,CHEMBL2107213,R06AX04
pranoprofen,CHEMBL367463,S01BC09
indometacin,CHEMBL6,C01EB03
salbutamol and beclometasone,CHEMBL714,R03AK13
aluminium acetoacetate,CHEMBL3707335,A02AB05
methionine,CHEMBL42336,V03AB26
"pertussis, inactivated, whole cell, combinations with toxoids",CHEMBL2109219,J07AJ51
hexetidine,CHEMBL144673,A01AB12
metoprolol,CHEMBL13,C07AB02
gallamine,CHEMBL1200993,M03AC02
cinchocaine,CHEMBL1086,N01BB06
sulbactam,CHEMBL403,J01CG01
antimony pentasulfide,CHEMBL3707259,R05CA07
DRUGS FOR CONSTIPATION,CHEMBL496957,A06A
crilanomer,CHEMBL2108183,D03AX09
miocamycin,CHEMBL1091024,J01FA11
ropivacaine,CHEMBL1077896,N01BB09
"Barbiturates for general anesthesia, plain",CHEMBL496957,N01AF
promethazine,CHEMBL1200750,R06AD02
dinoprost,CHEMBL1200896,G02AD01
DERMATOLOGICALS,CHEMBL1388,D
medroxyprogesterone,CHEMBL1390,G03AC06
atropine and psycholeptics,CHEMBL195,A03CB03
rifapentine,CHEMBL1660,J04AB05
"dihydroergocristine, combinations",CHEMBL1255837,C04AE54
acetrizoic acid,CHEMBL1201327,V08AA07
erenumab,CHEMBL3833329,N02CX07
almasilate,CHEMBL3833322,A02AD05
DRUGS USED IN DIABETES,CHEMBL436,A10
dexamethasone and antiinfectives,CHEMBL1697787,S01CA01
"influenza, inactivated, whole virus",CHEMBL2109042,J07BB01
Other chemotherapeutics in ATC,CHEMBL3527138,D06BX
indometacin and antiinfectives,CHEMBL3186966,S01CC02
Other agents against leishmaniasis and trypanosomiasis in ATC,CHEMBL1631694,P01CX
DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,CHEMBL3545061,G04C
Short-acting sulfonamides,CHEMBL700,J01EB
potassium iodide,CHEMBL1141,S01XA04
piketoprofen,CHEMBL2106966,M02AA28
diethylcarbamazine,CHEMBL684,P02CB02
betaxolol,CHEMBL1691,C07AB05
Allergen extracts,CHEMBL2074687,V01AA
